X,tissue,color,SMTSDABREV,SMTSD,SMTSCUSTOM,TISSUENAMEABREV
AdiposeSubcutaneous,AdiposeSubcutaneous,tan1,ADPSBQ,Adipose - Subcutaneous,Adipose - Subcutaneous,Adipose Subcutaneous
AdiposeVisceralOmentum,AdiposeVisceralOmentum,orange2,ADPVSC,Adipose - Visceral (Omentum),Adipose - Visceral,Adipose Visceral
AdrenalGland,AdrenalGland,darkseagreen,ADRNLG,Adrenal Gland,Adrenal Gland,Adrenal Gland
ArteryAorta,ArteryAorta,maroon4,ARTAORT,Artery - Aorta,Artery - Aorta,Artery Aorta
ArteryCoronary,ArteryCoronary,coral2,ARTCRN,Artery - Coronary,Artery - Coronary,Artery Coronary
ArteryTibial,ArteryTibial,red,ARTTBL,Artery - Tibial,Artery - Tibial,Artery Tibial
Bladder,Bladder,bisque3,BLADDER,Bladder,Bladder,Bladder
BrainAmygdala,BrainAmygdala,yellow2,BRNAMY,Brain - Amygdala,Brain - Amygdala,Brain Amygdala
BrainAnteriorcingulatecortexBA24,BrainAnteriorcingulatecortexBA24,yellow2,BRNACC,Brain - Anterior cingulate cortex (BA24),Brain - Anterior cingulate cortex,Brain cingulate cortex
BrainCaudatebasalganglia,BrainCaudatebasalganglia,yellow2,BRNCDT,Brain - Caudate (basal ganglia),Brain - Caudate,Brain Caudate
BrainCerebellarHemisphere,BrainCerebellarHemisphere,yellow2,BRNCHB,Brain - Cerebellar Hemisphere,Brain - Cerebellar Hemisphere,Brain Cerebellar Hemisphere
BrainCerebellum,BrainCerebellum,yellow2,BRNCHA,Brain - Cerebellum,Brain - Cerebellum,Brain Cerebellum
BrainCortex,BrainCortex,yellow2,BRNCTXA,Brain - Cortex,Brain - Cortex,Brain Cortex
BrainFrontalCortexBA9,BrainFrontalCortexBA9,yellow2,BRNCTXB,Brain - Frontal Cortex (BA9),Brain - Frontal Cortex,Brain Frontal Cortex
BrainHippocampus,BrainHippocampus,yellow2,BRNHPP,Brain - Hippocampus,Brain - Hippocampus,Brain Hippocampus
BrainHypothalamus,BrainHypothalamus,yellow2,BRNHPT,Brain - Hypothalamus,Brain - Hypothalamus,Brain Hypothalamus
BrainNucleusaccumbensbasalganglia,BrainNucleusaccumbensbasalganglia,yellow2,BRNNCC,Brain - Nucleus accumbens (basal ganglia),Brain - Nucleus accumbens,Brain Nucleus accumbens
BrainPutamenbasalganglia,BrainPutamenbasalganglia,yellow2,BRNPTM,Brain - Putamen (basal ganglia),Brain - Putamen,Brain Putamen
BrainSpinalcordcervicalc1,BrainSpinalcordcervicalc1,yellow2,BRNSPC,Brain - Spinal cord (cervical c-1),Brain - Spinal cord,Brain Spinal cord
BrainSubstantianigra,BrainSubstantianigra,yellow2,BRNSNG,Brain - Substantia nigra,Brain - Substantia nigra,Brain Substantia nigra
BreastMammaryTissue,BreastMammaryTissue,cyan3,BREAST,Breast - Mammary Tissue,Breast - Mammary Tissue,Breast
CellsCulturedfibroblasts,CellsCulturedfibroblasts,lightblue3,FIBRBLS,Cells - Cultured fibroblasts,CellsCulturedfibroblasts,CellsCulturedfibroblasts
CellsEBVtransformedlymphocytes,CellsEBVtransformedlymphocytes,violet,LCL,Cells - EBV-transformed lymphocytes,CellsEBVtransformedlymphocytes,CellsEBVtransformedlymphocytes
CervixEctocervix,CervixEctocervix,mistyrose2,CERVECT,Cervix - Ectocervix,Cervix - Ectocervix,Ectocervix
CervixEndocervix,CervixEndocervix,mistyrose2,CERVEND,Cervix - Endocervix,Cervix - Endocervix,Endocervix
ColonSigmoid,ColonSigmoid,bisque3,CLNSGM,Colon - Sigmoid,Colon - Sigmoid,Colon Sigmoid
ColonTransverse,ColonTransverse,burlywood2,CLNTRN,Colon - Transverse,Colon - Transverse,Colon Transverse
EsophagusGastroesophagealJunction,EsophagusGastroesophagealJunction,burlywood4,ESPGEJ,Esophagus - Gastroesophageal Junction,Esophagus - Gastroesopha.,Esophagus Junction
EsophagusMucosa,EsophagusMucosa,#332288,ESPMCS,Esophagus - Mucosa,Esophagus - Mucosa,Esophagus Mucosa
EsophagusMuscularis,EsophagusMuscularis,burlywood3,ESPMSL,Esophagus - Muscularis,Esophagus - Muscularis,Esophagus Muscularis
FallopianTube,FallopianTube,mistyrose2,FALLTUB,Fallopian Tube,Fallopian Tube,Fallopian Tube
HeartAtrialAppendage,HeartAtrialAppendage,mediumorchid3,HRTAA,Heart - Atrial Appendage,Heart - Atrial Appendage,Heart Atrial Appendage
HeartLeftVentricle,HeartLeftVentricle,mediumorchid4,HRTLV,Heart - Left Ventricle,Heart - Left Ventricle,Heart Ventricle
KidneyCortex,KidneyCortex,bisque3,KDNCTX,Kidney - Cortex,Kidney,Kidney
KidneyMedulla,KidneyMedulla,bisque3,KDNMEDU,Kidney - Medulla,Kidney - Medulla,Kidney
Liver,Liver,bisque3,LIVER,Liver,Liver,Liver
Lung,Lung,olivedrab3,LUNG,Lung,Lung,Lung
MinorSalivaryGland,MinorSalivaryGland,grey46,SLVRYG,Minor Salivary Gland,Minor Salivary Gland,Salivary Gland
MuscleSkeletal,MuscleSkeletal,slateblue2,MSCLSK,Muscle - Skeletal,Muscle - Skeletal,Muscle
NerveTibial,NerveTibial,gold1,NERVET,Nerve - Tibial,Nerve - Tibial,Nerve Tibial
Ovary,Ovary,lightpink,OVARY,Ovary,Ovary,Ovary
Pancreas,Pancreas,goldenrod3,PNCREAS,Pancreas,Pancreas,Pancreas
Pituitary,Pituitary,darkseagreen2,PTTARY,Pituitary,Pituitary,Pituitary
Prostate,Prostate,grey85,PRSTTE,Prostate,Prostate,Prostate
SkinNotSunExposedSuprapubic,SkinNotSunExposedSuprapubic,royalblue3,SKINNS,Skin - Not Sun Exposed (Suprapubic),Skin - Not Sun Exposed,Skin Suprapubic
