"X","tissue","color","SMTSDABREV","SMTSD","SMTSCUSTOM","TISSUENAMEABREV","Name"
"AdiposeSubcutaneous","AdiposeSubcutaneous","tan1","ADPSBQ","Adipose - Subcutaneous","Adipose - Subcutaneous","Adipose Subcutaneous","Adipose subcutaneous"
"AdiposeVisceralOmentum","AdiposeVisceralOmentum","orange2","ADPVSC","Adipose - Visceral (Omentum)","Adipose - Visceral","Adipose Visceral","Adipose visceral"
"AdrenalGland","AdrenalGland","darkseagreen","ADRNLG","Adrenal Gland","Adrenal Gland","Adrenal Gland","Adrenal gland"
"ArteryAorta","ArteryAorta","maroon4","ARTAORT","Artery - Aorta","Artery - Aorta","Artery Aorta","Artery aorta"
"ArteryCoronary","ArteryCoronary","coral2","ARTCRN","Artery - Coronary","Artery - Coronary","Artery Coronary","Artery coronary"
"ArteryTibial","ArteryTibial","red","ARTTBL","Artery - Tibial","Artery - Tibial","Artery Tibial","Artery tibial"
"Bladder","Bladder","bisque3","BLADDER","Bladder","Bladder","Bladder","Bladder"
"BrainAmygdala","BrainAmygdala","yellow2","BRNAMY","Brain - Amygdala","Brain - Amygdala","Brain Amygdala","Brain amygdala"
"BrainAnteriorcingulatecortexBA24","BrainAnteriorcingulatecortexBA24","yellow2","BRNACC","Brain - Anterior cingulate cortex (BA24)","Brain - Anterior cingulate cortex","Brain cingulate cortex","Brain cingulate cortex"
"BrainCaudatebasalganglia","BrainCaudatebasalganglia","yellow2","BRNCDT","Brain - Caudate (basal ganglia)","Brain - Caudate","Brain Caudate","Brain caudate"
"BrainCerebellarHemisphere","BrainCerebellarHemisphere","yellow2","BRNCHB","Brain - Cerebellar Hemisphere","Brain - Cerebellar Hemisphere","Brain Cerebellar Hemisphere","Brain cerebellar hemisphere"
"BrainCerebellum","BrainCerebellum","yellow2","BRNCHA","Brain - Cerebellum","Brain - Cerebellum","Brain Cerebellum","Brain cerebellum"
"BrainCortex","BrainCortex","yellow2","BRNCTXA","Brain - Cortex","Brain - Cortex","Brain Cortex","Brain cortex"
"BrainFrontalCortexBA9","BrainFrontalCortexBA9","yellow2","BRNCTXB","Brain - Frontal Cortex (BA9)","Brain - Frontal Cortex","Brain Frontal Cortex","Brain frontal cortex"
"BrainHippocampus","BrainHippocampus","yellow2","BRNHPP","Brain - Hippocampus","Brain - Hippocampus","Brain Hippocampus","Brain hippocampus"
"BrainHypothalamus","BrainHypothalamus","yellow2","BRNHPT","Brain - Hypothalamus","Brain - Hypothalamus","Brain Hypothalamus","Brain hypothalamus"
"BrainNucleusaccumbensbasalganglia","BrainNucleusaccumbensbasalganglia","yellow2","BRNNCC","Brain - Nucleus accumbens (basal ganglia)","Brain - Nucleus accumbens","Brain Nucleus accumbens","Brain nucleus accumbens"
"BrainPutamenbasalganglia","BrainPutamenbasalganglia","yellow2","BRNPTM","Brain - Putamen (basal ganglia)","Brain - Putamen","Brain Putamen","Brain putamen"
"BrainSpinalcordcervicalc1","BrainSpinalcordcervicalc1","yellow2","BRNSPC","Brain - Spinal cord (cervical c-1)","Brain - Spinal cord","Brain Spinal cord","Brain spinal cord"
"BrainSubstantianigra","BrainSubstantianigra","yellow2","BRNSNG","Brain - Substantia nigra","Brain - Substantia nigra","Brain Substantia nigra","Brain substantia nigra"
"BreastMammaryTissue","BreastMammaryTissue","cyan3","BREAST","Breast - Mammary Tissue","Breast - Mammary Tissue","Breast","Breast"
"CellsCulturedfibroblasts","CellsCulturedfibroblasts","lightblue3","FIBRBLS","Cells - Cultured fibroblasts","CellsCulturedfibroblasts","CellsCulturedfibroblasts","CellsCulturedfibroblasts"
"CellsEBVtransformedlymphocytes","CellsEBVtransformedlymphocytes","violet","LCL","Cells - EBV-transformed lymphocytes","CellsEBVtransformedlymphocytes","CellsEBVtransformedlymphocytes","CellsEBVtransformedlymphocytes"
"CervixEctocervix","CervixEctocervix","mistyrose2","CERVECT","Cervix - Ectocervix","Cervix - Ectocervix","Ectocervix","Ectocervix"
"CervixEndocervix","CervixEndocervix","mistyrose2","CERVEND","Cervix - Endocervix","Cervix - Endocervix","Endocervix","Endocervix"
"ColonSigmoid","ColonSigmoid","bisque3","CLNSGM","Colon - Sigmoid","Colon - Sigmoid","Colon Sigmoid","Colon sigmoid"
"ColonTransverse","ColonTransverse","burlywood2","CLNTRN","Colon - Transverse","Colon - Transverse","Colon Transverse","Colon transverse"
"EsophagusGastroesophagealJunction","EsophagusGastroesophagealJunction","burlywood4","ESPGEJ","Esophagus - Gastroesophageal Junction","Esophagus - Gastroesopha.","Esophagus Junction","Esophagus junction"
"EsophagusMucosa","EsophagusMucosa","#332288","ESPMCS","Esophagus - Mucosa","Esophagus - Mucosa","Esophagus Mucosa","Esophagus mucosa"
"EsophagusMuscularis","EsophagusMuscularis","burlywood3","ESPMSL","Esophagus - Muscularis","Esophagus - Muscularis","Esophagus Muscularis","Esophagus muscularis"
"FallopianTube","FallopianTube","mistyrose2","FALLTUB","Fallopian Tube","Fallopian Tube","Fallopian Tube","Fallopian tube"
"HeartAtrialAppendage","HeartAtrialAppendage","mediumorchid3","HRTAA","Heart - Atrial Appendage","Heart - Atrial Appendage","Heart Atrial Appendage","Heart atrial appendage"
"HeartLeftVentricle","HeartLeftVentricle","mediumorchid4","HRTLV","Heart - Left Ventricle","Heart - Left Ventricle","Heart Ventricle","Heart ventricle"
"KidneyCortex","KidneyCortex","bisque3","KDNCTX","Kidney - Cortex","Kidney","Kidney","Kidney"
"KidneyMedulla","KidneyMedulla","bisque3","KDNMEDU","Kidney - Medulla","Kidney - Medulla","Kidney","Kidney"
"Liver","Liver","bisque3","LIVER","Liver","Liver","Liver","Liver"
"Lung","Lung","olivedrab3","LUNG","Lung","Lung","Lung","Lung"
"MinorSalivaryGland","MinorSalivaryGland","grey46","SLVRYG","Minor Salivary Gland","Minor Salivary Gland","Salivary Gland","Salivary gland"
"MuscleSkeletal","MuscleSkeletal","slateblue2","MSCLSK","Muscle - Skeletal","Muscle - Skeletal","Muscle","Muscle"
"NerveTibial","NerveTibial","gold1","NERVET","Nerve - Tibial","Nerve - Tibial","Nerve Tibial","Nerve tibial"
"Ovary","Ovary","lightpink","OVARY","Ovary","Ovary","Ovary","Ovary"
"Pancreas","Pancreas","goldenrod3","PNCREAS","Pancreas","Pancreas","Pancreas","Pancreas"
"Pituitary","Pituitary","darkseagreen2","PTTARY","Pituitary","Pituitary","Pituitary","Pituitary"
"Prostate","Prostate","grey85","PRSTTE","Prostate","Prostate","Prostate","Prostate"
