"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"GPR126","Previous symbol","ADGRG6","adhesion G protein-coupled receptor G6","HGNC:13841","6q24.2"
"SULT1C2","Previous symbol","SULT1C4","sulfotransferase family 1C member 4","HGNC:11457","2q12.3"
"C6orf138","Previous symbol","PTCHD4","patched domain containing 4","HGNC:21345","6p12.3"
"CTSL1","Previous symbol","CTSL","cathepsin L","HGNC:2537","9q21.33"
"C6orf173","Previous symbol","CENPW","centromere protein W","HGNC:21488","6q22.32"
"GALNTL4","Previous symbol","GALNT18","polypeptide N-acetylgalactosaminyltransferase 18","HGNC:30488","11p15.4"
"KIAA1919","Previous symbol","MFSD4B","major facilitator superfamily domain containing 4B","HGNC:21053","6q21"
"NCRNA00082","Previous symbol","ARMH1","armadillo like helical domain containing 1","HGNC:34345","1p34.1"
"ATP5S","Previous symbol","DMAC2L","distal membrane arm assembly component 2 like","HGNC:18799","14q21.3"
"GPR110","Previous symbol","ADGRF1","adhesion G protein-coupled receptor F1","HGNC:18990","6p12.3"
"C1orf85","Previous symbol","GLMP","glycosylated lysosomal membrane protein","HGNC:29436","1q22"
"IL28RA","Previous symbol","IFNLR1","interferon lambda receptor 1","HGNC:18584","1p36.11"
"BRE","Previous symbol","BABAM2","BRISC and BRCA1 A complex member 2","HGNC:1106","2p23.2"
"KIAA0355","Previous symbol","GARRE1","granule associated Rac and RHOG effector 1","HGNC:29016","19q13.11"
"C1orf151","Previous symbol","MICOS10","mitochondrial contact site and cristae organizing system subunit 10","HGNC:32068","1p36.13"
"MKL2","Previous symbol","MRTFB","myocardin related transcription factor B","HGNC:29819","16p13.12"
"C12orf45","Previous symbol","NOPCHAP1","NOP protein chaperone 1","HGNC:28628","12q23.3"
"KIAA0329","Previous symbol","TECPR2","tectonin beta-propeller repeat containing 2","HGNC:19957","14q32.33"
"KIAA1462","Previous symbol","JCAD","junctional cadherin 5 associated","HGNC:29283","10p11.23"
"CDH3","Previous symbol","CDH15","cadherin 15","HGNC:1754","16q24.3"
"TMEM35","Previous symbol","TMEM35A","transmembrane protein 35A","HGNC:25864","Xq22.1"
"KIAA1274","Previous symbol","PALD1","phosphatase domain containing paladin 1","HGNC:23530","10q22.1"
"ADRBK2","Previous symbol","GRK3","G protein-coupled receptor kinase 3","HGNC:290","22q12.1"
"ALS2CR4","Previous symbol","TMEM237","transmembrane protein 237","HGNC:14432","2q33.1"
"BZRAP1","Previous symbol","TSPOAP1","TSPO associated protein 1","HGNC:16831","17q22"
"PCNX","Previous symbol","PCNX1","pecanex 1","HGNC:19740","14q24.2"
"TM7SF4","Previous symbol","DCSTAMP","dendrocyte expressed seven transmembrane protein","HGNC:18549","8q22.3"
"SFRS18","Previous symbol","PNISR","PNN interacting serine and arginine rich protein","HGNC:21222","6q16.2"
"C21orf71","Previous symbol","LINC00515","long intergenic non-protein coding RNA 515","HGNC:16019","21q21.3"
"NET1","Previous symbol","SLC6A2","solute carrier family 6 member 2","HGNC:11048","16q12.2"
"NET1","Previous symbol","SLC6A5","solute carrier family 6 member 5","HGNC:11051","11p15.1"
"GVIN1","Previous symbol","GVINP1","GTPase, very large interferon inducible pseudogene 1","HGNC:25813","11p15.4"
"LPHN3","Previous symbol","ADGRL3","adhesion G protein-coupled receptor L3","HGNC:20974","4q13.1"
"C17orf60","Previous symbol","MILR1","mast cell immunoglobulin like receptor 1","HGNC:27570","17q23.3"
"MOBKL2B","Previous symbol","MOB3B","MOB kinase activator 3B","HGNC:23825","9p21.2"
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"CXorf24","Previous symbol","LINC01560","long intergenic non-protein coding RNA 1560","HGNC:27333","Xp11.3"
"CXorf26","Previous symbol","PBDC1","polysaccharide biosynthesis domain containing 1","HGNC:28790","Xq13.3"
"DOPEY2","Previous symbol","DOP1B","DOP1 leucine zipper like protein B","HGNC:1291","21q22.12"
"LOH3CR2A","Previous symbol","LINC00312","long intergenic non-protein coding RNA 312","HGNC:6662","3p25.3"
"C2orf65","Previous symbol","M1AP","meiosis 1 associated protein","HGNC:25183","2p13.1"
"C12orf5","Previous symbol","TIGAR","TP53 induced glycolysis regulatory phosphatase","HGNC:1185","12p13.32"
"FAM13C1","Previous symbol","FAM13C","family with sequence similarity 13 member C","HGNC:19371","10q21.1"
"TMEM49","Previous symbol","VMP1","vacuole membrane protein 1","HGNC:29559","17q23.1"
"C10orf4","Previous symbol","FRA10AC1","FRA10A associated CGG repeat 1","HGNC:1162","10q23.33"
"FAM159A","Previous symbol","SHISAL2A","shisa like 2A","HGNC:28757","1p32.3"
"PTHR1","Previous symbol","PTH1R","parathyroid hormone 1 receptor","HGNC:9608","3p21.31"
"C20orf59","Previous symbol","SLC17A9","solute carrier family 17 member 9","HGNC:16192","20q13.33"
"TMEM136","Previous symbol","TLCD5","TLC domain containing 5","HGNC:28280","11q23.3"
"GPR120","Previous symbol","FFAR4","free fatty acid receptor 4","HGNC:19061","10q23.33"
"C1orf168","Previous symbol","FYB2","FYN binding protein 2","HGNC:27295","1p32.2"
"C20orf24","Previous symbol","RAB5IF","RAB5 interacting factor","HGNC:15870","20q11.23"
"CTSL2","Previous symbol","CTSV","cathepsin V","HGNC:2538","9q22.33"
"MYST4","Previous symbol","KAT6B","lysine acetyltransferase 6B","HGNC:17582","10q22.2"
"PLAC2","Previous symbol","TINCR","TINCR ubiquitin domain containing","HGNC:14607","19p13.3"
"C12orf62","Previous symbol","COX14","cytochrome c oxidase assembly factor COX14","HGNC:28216","12q13.12"
"ABP1","Previous symbol","AOC1","amine oxidase copper containing 1","HGNC:80","7q36.1"
"UGCGL1","Previous symbol","UGGT1","UDP-glucose glycoprotein glucosyltransferase 1","HGNC:15663","2q14.3"
"BHLHB5","Previous symbol","BHLHE22","basic helix-loop-helix family member e22","HGNC:11963","8q12.3"
"RBM9","Previous symbol","RBFOX2","RNA binding fox-1 homolog 2","HGNC:9906","22q12.3"
"IL8","Previous symbol","CXCL8","C-X-C motif chemokine ligand 8","HGNC:6025","4q13.3"
"THEM2","Previous symbol","ACOT13","acyl-CoA thioesterase 13","HGNC:20999","6p22.3"
"KDELC2","Previous symbol","POGLUT3","protein O-glucosyltransferase 3","HGNC:28496","11q22.3"
"MLL","Previous symbol","KMT2A","lysine methyltransferase 2A","HGNC:7132","11q23.3"
"LPHN2","Previous symbol","ADGRL2","adhesion G protein-coupled receptor L2","HGNC:18582","1p31.1"
"TMEM111","Previous symbol","EMC3","ER membrane protein complex subunit 3","HGNC:23999","3p25.3"
"MOBKL1B","Previous symbol","MOB1A","MOB kinase activator 1A","HGNC:16015","2p13.1"
"C6orf124","Previous symbol","AFDN-DT","AFDN divergent transcript","HGNC:21236","6q27"
"IHPK2","Previous symbol","IP6K2","inositol hexakisphosphate kinase 2","HGNC:17313","3p21.31"
"FER1L3","Previous symbol","MYOF","myoferlin","HGNC:3656","10q23.33"
"BHLHB3","Previous symbol","BHLHE41","basic helix-loop-helix family member e41","HGNC:16617","12p12.1"
"KAL1","Previous symbol","ANOS1","anosmin 1","HGNC:6211","Xp22.31"
"C1orf38","Previous symbol","THEMIS2","thymocyte selection associated family member 2","HGNC:16839","1p35.3"
"SRGAP2","Previous symbol","SRGAP3","SLIT-ROBO Rho GTPase activating protein 3","HGNC:19744","3p25.3"
"PLUNC","Previous symbol","BPIFA1","BPI fold containing family A member 1","HGNC:15749","20q11.21"
"GABPB2","Previous symbol","GABPB1","GA binding protein transcription factor subunit beta 1","HGNC:4074","15q21.2"
"C5orf4","Previous symbol","FAXDC2","fatty acid hydroxylase domain containing 2","HGNC:1334","5q33.2"
"C6orf125","Previous symbol","UQCC2","ubiquinol-cytochrome c reductase complex assembly factor 2","HGNC:21237","6p21.31"
"C6orf123","Previous symbol","LINC01558","long intergenic non-protein coding RNA 1558","HGNC:21235","6q27"
"PPAP2B","Previous symbol","PLPP3","phospholipid phosphatase 3","HGNC:9229","1p32.2"
"C13orf31","Previous symbol","LACC1","laccase domain containing 1","HGNC:26789","13q14.11"
"ERO1L","Previous symbol","ERO1A","endoplasmic reticulum oxidoreductase 1 alpha","HGNC:13280","14q22.1"
"GLT25D1","Previous symbol","COLGALT1","collagen beta(1-O)galactosyltransferase 1","HGNC:26182","19p13.11"
"IGSF2","Previous symbol","CD101","CD101 molecule","HGNC:5949","1p13.1"
"C10orf11","Previous symbol","LRMDA","leucine rich melanocyte differentiation associated","HGNC:23405","10q22.2-q22.3"
"C22orf9","Previous symbol","KIAA0930","KIAA0930","HGNC:1314","22q13.31"
"DFNA5","Previous symbol","GSDME","gasdermin E","HGNC:2810","7p15.3"
"C15orf37","Previous symbol","ST20-AS1","ST20 antisense RNA 1","HGNC:27521","15q25.1"
"ADFP","Previous symbol","PLIN2","perilipin 2","HGNC:248","9p22.1"
"KIAA1199","Previous symbol","CEMIP","cell migration inducing hyaluronidase 1","HGNC:29213","15q25.1"
"ROD1","Previous symbol","PTBP3","polypyrimidine tract binding protein 3","HGNC:10253","9q32"
"C1orf225","Previous symbol","TRNP1","TMF1 regulated nuclear protein 1","HGNC:34348","1p36.11"
"C16orf33","Previous symbol","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25","HGNC:14161","16p13.3"
"C7orf41","Previous symbol","MTURN","maturin, neural progenitor differentiation regulator homolog","HGNC:25457","7p14.3"
"PTRF","Previous symbol","CAVIN1","caveolae associated protein 1","HGNC:9688","17q21.2"
"BPIL1","Previous symbol","BPIFB2","BPI fold containing family B member 2","HGNC:16177","20q11.21"
"PRR6","Previous symbol","CENPV","centromere protein V","HGNC:29920","17p11.2"
"C19orf59","Previous symbol","MCEMP1","mast cell expressed membrane protein 1","HGNC:27291","19p13.2"
"CUGBP2","Previous symbol","CELF2","CUGBP Elav-like family member 2","HGNC:2550","10p14"
"C12orf59","Previous symbol","TMEM52B","transmembrane protein 52B","HGNC:26438","12p13.2"
"TMSL8","Previous symbol","TMSB15A","thymosin beta 15A","HGNC:30744","Xq22.1"
"SQRDL","Previous symbol","SQOR","sulfide quinone oxidoreductase","HGNC:20390","15q21.1"
"YARS","Previous symbol","YARS1","tyrosyl-tRNA synthetase 1","HGNC:12840","1p35.1"
"PTPLA","Previous symbol","HACD1","3-hydroxyacyl-CoA dehydratase 1","HGNC:9639","10p12.33"
"C14orf139","Previous symbol","SYNE3","spectrin repeat containing nuclear envelope family member 3","HGNC:19861","14q32.13"
"LPHN1","Previous symbol","ADGRL1","adhesion G protein-coupled receptor L1","HGNC:20973","19p13.12"
"C12orf39","Previous symbol","SPX","spexin hormone","HGNC:28139","12p12.1"
"CEP27","Previous symbol","HAUS2","HAUS augmin like complex subunit 2","HGNC:25530","15q15.2"
"C1orf59","Previous symbol","HENMT1","HEN methyltransferase 1","HGNC:26400","1p13.3"
"UNC84A","Previous symbol","SUN1","Sad1 and UNC84 domain containing 1","HGNC:18587","7p22.3"
"C16orf14","Previous symbol","MCRIP2","MAPK regulated corepressor interacting protein 2","HGNC:14142","16p13.3"
"C16orf61","Previous symbol","CMC2","C-X9-C motif containing 2","HGNC:24447","16q23.2"
"SC5DL","Previous symbol","SC5D","sterol-C5-desaturase","HGNC:10547","11q23.3-q24.1"
"IL1F7","Previous symbol","IL37","interleukin 37","HGNC:15563","2q14.1"
"RNASEH1","Previous symbol","RNASEH1P1","ribonuclease H1 pseudogene 1","HGNC:10049","17p11.2"
"C11orf82","Previous symbol","DDIAS","DNA damage induced apoptosis suppressor","HGNC:26351","11q14.1"
"C9orf61","Previous symbol","ENTREP1","endosomal transmembrane epsin interactor 1","HGNC:24820","9q21.12"
"KIAA1324","Previous symbol","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1","HGNC:29618","1p13.3"
"CNIH","Previous symbol","CNIH1","cornichon family AMPA receptor auxiliary protein 1","HGNC:19431","14q22.2"
"C2orf58","Previous symbol","CYP1B1-AS1","CYP1B1 antisense RNA 1","HGNC:28543","2p22.2"
"LACE1","Previous symbol","AFG1L","AFG1 like ATPase","HGNC:16411","6q21"
"WDR51A","Previous symbol","POC1A","POC1 centriolar protein A","HGNC:24488","3p21.2"
"C11orf45","Previous symbol","KCNJ5-AS1","KCNJ5 antisense RNA 1","HGNC:28584","11q24.3"
"MFSD7","Previous symbol","SLC49A3","solute carrier family 49 member 3","HGNC:26177","4p16.3"
"C11orf9","Previous symbol","MYRF","myelin regulatory factor","HGNC:1181","11q12.2"
"C20orf114","Previous symbol","BPIFB1","BPI fold containing family B member 1","HGNC:16108","20q11.21"
"PLD1","Previous symbol","PRKCSH","protein kinase C substrate 80K-H","HGNC:9411","19p13.2"
"AADACL1","Previous symbol","NCEH1","neutral cholesterol ester hydrolase 1","HGNC:29260","3q26.31"
"RAG1AP1","Previous symbol","SLC50A1","solute carrier family 50 member 1","HGNC:30657","1q22"
"C14orf106","Previous symbol","MIS18BP1","MIS18 binding protein 1","HGNC:20190","14q21.2"
"ROBLD3","Previous symbol","LAMTOR2","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","HGNC:29796","1q22"
"CECR1","Previous symbol","ADA2","adenosine deaminase 2","HGNC:1839","22q11.1"
"C3orf23","Previous symbol","TCAIM","T cell activation inhibitor, mitochondrial","HGNC:25241","3p21.31"
"TMEM8","Previous symbol","PGAP6","post-GPI attachment to proteins 6","HGNC:17205","16p13.3"
"TCEB3","Previous symbol","ELOA","elongin A","HGNC:11620","1p36.11"
"C6orf225","Previous symbol","FAM229B","family with sequence similarity 229 member B","HGNC:33858","6q21"
"MAPKSP1","Previous symbol","LAMTOR3","late endosomal/lysosomal adaptor, MAPK and MTOR activator 3","HGNC:15606","4q23"
"C10orf125","Previous symbol","FUOM","fucose mutarotase","HGNC:24733","10q26.3"
"AMICA1","Previous symbol","JAML","junction adhesion molecule like","HGNC:19084","11q23.3"
"PHCA","Previous symbol","ACER3","alkaline ceramidase 3","HGNC:16066","11q13.5"
"TCF3","Previous symbol","TCF7L1","transcription factor 7 like 1","HGNC:11640","2p11.2"
"C17orf87","Previous symbol","SCIMP","SLP adaptor and CSK interacting membrane protein","HGNC:33504","17p13.2"
"EMR3","Previous symbol","ADGRE3","adhesion G protein-coupled receptor E3","HGNC:23647","19p13.12"
